epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.261,1.39378,2.01594,1.15481,0.59527,0.70386,0.65675,0.3855,1.66504,1.39767,1.08661,0.0033304,0.0033304,0.0033304
2,198.328,1.38941,1.13706,1.1527,0.67718,0.67547,0.71059,0.37663,1.77165,1.24858,1.16248,0.00665054,0.00665054,0.00665054
3,294.292,1.4527,1.11284,1.18688,0.57671,0.70647,0.6563,0.36686,1.75734,1.22183,1.15606,0.00995748,0.00995748,0.00995748
4,385.686,1.46582,1.10006,1.20963,0.71625,0.72358,0.7482,0.41264,1.76796,1.10985,1.12326,0.0099406,0.0099406,0.0099406
5,474.935,1.40906,1.00934,1.17361,0.64846,0.72674,0.71711,0.40138,1.67017,1.101,1.10567,0.0099208,0.0099208,0.0099208
6,564.51,1.36645,0.96439,1.15575,0.6983,0.76301,0.78619,0.45192,1.60224,0.99024,1.07912,0.009901,0.009901,0.009901
7,653.139,1.32125,0.91763,1.1341,0.72286,0.75315,0.7886,0.46317,1.58611,0.96736,1.07388,0.0098812,0.0098812,0.0098812
8,741.869,1.31545,0.9004,1.12739,0.72027,0.69953,0.77278,0.47554,1.52749,0.97306,1.06095,0.0098614,0.0098614,0.0098614
9,831.221,1.28907,0.87688,1.12569,0.68148,0.77194,0.77704,0.45291,1.57208,0.96945,1.05819,0.0098416,0.0098416,0.0098416
10,920.769,1.26719,0.85731,1.10793,0.77661,0.76774,0.82096,0.50032,1.53026,0.93885,1.04814,0.0098218,0.0098218,0.0098218
11,1011.41,1.25615,0.84684,1.10336,0.82366,0.77366,0.84174,0.51313,1.51986,0.88387,1.05173,0.009802,0.009802,0.009802
12,1100.64,1.24761,0.82591,1.09706,0.83837,0.75749,0.83931,0.49616,1.54789,0.91654,1.04703,0.0097822,0.0097822,0.0097822
13,1189.84,1.2313,0.80258,1.09006,0.82967,0.79022,0.85716,0.52364,1.50551,0.87704,1.03492,0.0097624,0.0097624,0.0097624
14,1277.85,1.22822,0.78179,1.0829,0.82654,0.77603,0.85951,0.5436,1.44212,0.83422,1.02326,0.0097426,0.0097426,0.0097426
15,1369.46,1.20247,0.75312,1.07476,0.85203,0.78788,0.87936,0.54677,1.47431,0.80142,1.02348,0.0097228,0.0097228,0.0097228
16,1460.27,1.20099,0.74739,1.0765,0.88023,0.82098,0.88471,0.54976,1.44835,0.79455,1.02231,0.009703,0.009703,0.009703
17,1550.74,1.20501,0.74478,1.07595,0.85704,0.81321,0.87616,0.56091,1.42108,0.7614,1.01323,0.0096832,0.0096832,0.0096832
18,1642.66,1.19586,0.73031,1.06836,0.87725,0.82256,0.89372,0.57393,1.39727,0.71981,1.00223,0.0096634,0.0096634,0.0096634
19,1733.67,1.17344,0.71879,1.06066,0.87838,0.80883,0.89037,0.57055,1.39718,0.73898,1.00435,0.0096436,0.0096436,0.0096436
20,1823.98,1.16718,0.70783,1.05796,0.88515,0.82969,0.8881,0.5755,1.38809,0.72006,0.99959,0.0096238,0.0096238,0.0096238
21,1913.38,1.1613,0.70014,1.05085,0.88725,0.8099,0.89962,0.58581,1.36352,0.70774,0.99413,0.009604,0.009604,0.009604
22,2004.17,1.1564,0.69831,1.04648,0.87177,0.81762,0.89336,0.58681,1.34422,0.70936,0.98958,0.0095842,0.0095842,0.0095842
23,2093.2,1.16623,0.69397,1.0501,0.86977,0.83596,0.90549,0.59366,1.33353,0.68665,0.98651,0.0095644,0.0095644,0.0095644
24,2181.11,1.1613,0.68967,1.05264,0.88318,0.81683,0.901,0.5955,1.32328,0.67952,0.98252,0.0095446,0.0095446,0.0095446
25,2270.39,1.14488,0.67912,1.05004,0.87848,0.8332,0.90232,0.59907,1.3258,0.67064,0.9819,0.0095248,0.0095248,0.0095248
26,2359.53,1.13682,0.67044,1.0413,0.87913,0.84607,0.91111,0.60131,1.31735,0.6599,0.98034,0.009505,0.009505,0.009505
27,2449.58,1.123,0.66285,1.03843,0.88399,0.84436,0.91182,0.60826,1.30373,0.64773,0.97848,0.0094852,0.0094852,0.0094852
