epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.348,0.98188,1.32974,1.17803,0.85501,0.80826,0.84304,0.60701,1.0598,1.05383,1.25797,0.00066545,0.00066545,0.00066545
2,76.7972,1.01993,0.96093,1.1961,0.90087,0.8,0.87405,0.62659,1.03889,0.93242,1.22846,0.00131893,0.00131893,0.00131893
3,108.873,0.99435,0.85962,1.18914,0.92007,0.8042,0.85602,0.62038,1.03896,0.82501,1.23656,0.00195921,0.00195921,0.00195921
4,143.186,0.96656,0.82455,1.1752,0.86029,0.84398,0.87841,0.63637,0.97742,0.72865,1.1659,0.0019406,0.0019406,0.0019406
5,174.781,0.93912,0.74968,1.15084,0.93136,0.83217,0.90188,0.65738,0.99085,0.63797,1.20991,0.0019208,0.0019208,0.0019208
6,206.481,0.92837,0.71833,1.14965,0.91388,0.86014,0.8975,0.6728,0.9154,0.62797,1.12338,0.001901,0.001901,0.001901
7,237.498,0.91097,0.69655,1.15014,0.94373,0.84442,0.90798,0.69546,0.8771,0.55247,1.13392,0.0018812,0.0018812,0.0018812
8,268.936,0.88486,0.67006,1.12589,0.9162,0.86853,0.9112,0.69075,0.90175,0.56758,1.12592,0.0018614,0.0018614,0.0018614
9,300.534,0.88052,0.66262,1.1247,0.91164,0.88017,0.91343,0.71798,0.84671,0.52729,1.06726,0.0018416,0.0018416,0.0018416
10,332.458,0.85649,0.62335,1.11045,0.92055,0.87512,0.92715,0.71288,0.88397,0.5147,1.11858,0.0018218,0.0018218,0.0018218
11,363.22,0.85679,0.61892,1.107,0.91644,0.82937,0.8957,0.68887,0.85336,0.54284,1.09099,0.001802,0.001802,0.001802
12,394.478,0.83228,0.60519,1.09916,0.94329,0.85455,0.92401,0.70723,0.83699,0.51458,1.09689,0.0017822,0.0017822,0.0017822
13,425.062,0.82798,0.58801,1.09656,0.92907,0.86014,0.91508,0.71292,0.83356,0.49903,1.08923,0.0017624,0.0017624,0.0017624
14,455.822,0.83583,0.58746,1.10087,0.94344,0.86014,0.93202,0.72405,0.82189,0.48613,1.07253,0.0017426,0.0017426,0.0017426
15,486.568,0.82826,0.58328,1.09807,0.93069,0.87133,0.92257,0.71395,0.84695,0.50816,1.08448,0.0017228,0.0017228,0.0017228
16,517.13,0.81594,0.55827,1.08772,0.90375,0.893,0.92943,0.71933,0.8422,0.48957,1.08063,0.001703,0.001703,0.001703
17,547.269,0.80014,0.5572,1.07707,0.94259,0.87265,0.92316,0.72976,0.78975,0.46998,1.05378,0.0016832,0.0016832,0.0016832
18,578.378,0.8035,0.54417,1.08621,0.93687,0.8717,0.92932,0.73262,0.77344,0.47346,1.05108,0.0016634,0.0016634,0.0016634
19,609.374,0.79277,0.53295,1.07914,0.92345,0.86041,0.91602,0.69776,0.85477,0.50158,1.11298,0.0016436,0.0016436,0.0016436
20,641.029,0.7884,0.52814,1.07045,0.89599,0.91189,0.92527,0.71806,0.83263,0.48673,1.09272,0.0016238,0.0016238,0.0016238
21,673.802,0.7855,0.53351,1.07687,0.91884,0.85507,0.92357,0.71175,0.82875,0.48135,1.07838,0.001604,0.001604,0.001604
22,706.881,0.77303,0.51703,1.06897,0.92807,0.89091,0.94022,0.73663,0.82787,0.43115,1.07081,0.0015842,0.0015842,0.0015842
23,738.894,0.77324,0.51278,1.06637,0.96291,0.87137,0.94225,0.74605,0.77078,0.4297,1.06464,0.0015644,0.0015644,0.0015644
24,769.579,0.76404,0.50122,1.05884,0.91518,0.89035,0.91812,0.72493,0.79958,0.53241,1.06986,0.0015446,0.0015446,0.0015446
25,802.402,0.76843,0.50765,1.05838,0.93595,0.88671,0.95161,0.74142,0.81536,0.44497,1.08593,0.0015248,0.0015248,0.0015248
26,833.658,0.7559,0.49649,1.05927,0.92377,0.88811,0.93659,0.74044,0.78035,0.45884,1.06136,0.001505,0.001505,0.001505
27,865.005,0.75738,0.48489,1.05465,0.95063,0.87133,0.94115,0.7492,0.79605,0.47113,1.05097,0.0014852,0.0014852,0.0014852
28,895.845,0.74438,0.47816,1.05069,0.91504,0.88112,0.94495,0.74713,0.80005,0.49537,1.07555,0.0014654,0.0014654,0.0014654
29,926.707,0.7423,0.48189,1.05222,0.91043,0.89564,0.94009,0.75039,0.77925,0.43022,1.04494,0.0014456,0.0014456,0.0014456
30,958.389,0.74819,0.4734,1.05142,0.94196,0.86256,0.94427,0.72621,0.80669,0.4448,1.06892,0.0014258,0.0014258,0.0014258
31,989.759,0.7387,0.47413,1.04483,0.89416,0.92448,0.9479,0.75527,0.76836,0.39936,1.03142,0.001406,0.001406,0.001406
32,1021.27,0.7331,0.46448,1.03824,0.9161,0.91608,0.94863,0.7427,0.7876,0.45717,1.04276,0.0013862,0.0013862,0.0013862
33,1052.05,0.72663,0.46582,1.03957,0.90224,0.91643,0.94839,0.7499,0.76982,0.42443,1.04466,0.0013664,0.0013664,0.0013664
34,1082.82,0.71879,0.46059,1.0353,0.93669,0.91042,0.95575,0.76472,0.74796,0.40911,1.0322,0.0013466,0.0013466,0.0013466
35,1113.49,0.71387,0.44826,1.03079,0.93325,0.9021,0.94442,0.74882,0.77669,0.43034,1.0425,0.0013268,0.0013268,0.0013268
36,1143.99,0.7185,0.44555,1.03591,0.89992,0.9055,0.94838,0.74815,0.7848,0.44231,1.0566,0.001307,0.001307,0.001307
37,1174.08,0.70634,0.43939,1.02921,0.92899,0.9021,0.95987,0.75362,0.77548,0.41035,1.05632,0.0012872,0.0012872,0.0012872
38,1204.31,0.70521,0.43562,1.02926,0.90331,0.90153,0.94381,0.75742,0.76052,0.42435,1.03774,0.0012674,0.0012674,0.0012674
39,1234.72,0.70869,0.43945,1.03079,0.9163,0.90336,0.94712,0.73953,0.78973,0.40779,1.06064,0.0012476,0.0012476,0.0012476
40,1265.5,0.70792,0.43701,1.02309,0.94332,0.91049,0.95134,0.75617,0.77746,0.40441,1.07037,0.0012278,0.0012278,0.0012278
41,1296.19,0.68913,0.42555,1.01853,0.94894,0.91608,0.96333,0.76494,0.77563,0.37702,1.04513,0.001208,0.001208,0.001208
42,1327.35,0.69794,0.43012,1.0208,0.94863,0.87811,0.94026,0.74376,0.78971,0.45312,1.06331,0.0011882,0.0011882,0.0011882
43,1357.59,0.68728,0.42467,1.01449,0.92926,0.9002,0.95008,0.7478,0.78869,0.43905,1.06099,0.0011684,0.0011684,0.0011684
44,1388.46,0.68045,0.42392,1.01504,0.93619,0.90286,0.9531,0.75068,0.76172,0.40946,1.04724,0.0011486,0.0011486,0.0011486
45,1418.72,0.68144,0.41572,1.01356,0.93754,0.8993,0.95307,0.76247,0.7563,0.40861,1.0462,0.0011288,0.0011288,0.0011288
46,1448.88,0.67154,0.4129,1.01241,0.92925,0.90769,0.94439,0.755,0.76181,0.43675,1.04685,0.001109,0.001109,0.001109
47,1480.08,0.67526,0.41135,1.01155,0.92263,0.90769,0.94502,0.76244,0.75486,0.43056,1.03384,0.0010892,0.0010892,0.0010892
48,1510.77,0.67184,0.40916,1.0094,0.94273,0.89785,0.95182,0.75844,0.75884,0.39889,1.03363,0.0010694,0.0010694,0.0010694
49,1541.77,0.66504,0.40771,1.00711,0.9394,0.88893,0.95072,0.76431,0.76481,0.40061,1.05988,0.0010496,0.0010496,0.0010496
50,1572.39,0.6519,0.39291,1.00289,0.9396,0.91377,0.95877,0.77126,0.7619,0.39078,1.04536,0.0010298,0.0010298,0.0010298
51,1602.72,0.66433,0.40559,1.00316,0.9275,0.8993,0.9504,0.76127,0.76221,0.4159,1.04082,0.00101,0.00101,0.00101
52,1633.32,0.65428,0.38761,0.9993,0.9455,0.8978,0.95091,0.7588,0.75331,0.39476,1.04597,0.0009902,0.0009902,0.0009902
53,1663.94,0.64787,0.39113,1.00248,0.94471,0.90804,0.95039,0.75988,0.76357,0.39376,1.04733,0.0009704,0.0009704,0.0009704
