epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.474,1.96554,3.42195,1.36135,0.54802,0.47679,0.43641,0.19986,1.756,1.94341,1.24601,0.00333119,0.00333119,0.00333119
2,240.18,1.96643,2.31536,1.32635,0.56567,0.43782,0.42767,0.19361,1.83755,1.8727,1.30826,0.00663153,0.00663153,0.00663153
3,350.302,2.0897,2.22024,1.40624,0.48327,0.41912,0.37229,0.16284,1.96242,2.10727,1.37031,0.00989888,0.00989888,0.00989888
4,458.894,2.10364,2.18102,1.43922,0.54927,0.46948,0.45958,0.20135,1.88908,1.82038,1.36929,0.0098515,0.0098515,0.0098515
5,570.537,2.01792,2.02637,1.38586,0.6015,0.51586,0.52836,0.25174,1.77853,1.64178,1.29138,0.009802,0.009802,0.009802
6,679.297,1.95424,1.9123,1.34338,0.652,0.53169,0.54328,0.27425,1.66783,1.54504,1.23563,0.0097525,0.0097525,0.0097525
7,789.406,1.89397,1.81837,1.30958,0.63507,0.57057,0.57407,0.29367,1.64228,1.49753,1.22064,0.009703,0.009703,0.009703
8,897.294,1.86353,1.74449,1.28853,0.66108,0.6102,0.60834,0.30834,1.60389,1.39734,1.19848,0.0096535,0.0096535,0.0096535
9,1010.43,1.83041,1.69912,1.27198,0.68998,0.60976,0.61815,0.32213,1.56871,1.35672,1.18227,0.009604,0.009604,0.009604
10,1121.35,1.80668,1.65607,1.25614,0.67865,0.62264,0.61766,0.32841,1.52594,1.3472,1.16593,0.0095545,0.0095545,0.0095545
11,1231.53,1.79004,1.61966,1.24362,0.69809,0.63526,0.63297,0.33849,1.53774,1.3016,1.16456,0.009505,0.009505,0.009505
12,1340.77,1.76789,1.58943,1.23503,0.71802,0.6481,0.66284,0.35865,1.47791,1.23039,1.13953,0.0094555,0.0094555,0.0094555
13,1449.92,1.7444,1.54525,1.22212,0.71557,0.66897,0.6594,0.35345,1.48378,1.24018,1.13819,0.009406,0.009406,0.009406
14,1562.11,1.73379,1.51636,1.21593,0.72479,0.68813,0.68263,0.37614,1.44049,1.16415,1.12242,0.0093565,0.0093565,0.0093565
15,1669.38,1.72229,1.50608,1.2106,0.72279,0.68258,0.67944,0.375,1.44328,1.17882,1.12256,0.009307,0.009307,0.009307
16,1781.82,1.70343,1.48581,1.20205,0.72256,0.6922,0.68973,0.38424,1.41351,1.14911,1.09864,0.0092575,0.0092575,0.0092575
17,1891.52,1.69074,1.45605,1.19241,0.73854,0.7046,0.70376,0.39349,1.40849,1.11448,1.10622,0.009208,0.009208,0.009208
18,2003.04,1.67603,1.43315,1.187,0.7413,0.71382,0.71005,0.39666,1.40113,1.08024,1.10351,0.0091585,0.0091585,0.0091585
19,2110.5,1.67572,1.41915,1.18373,0.74216,0.72292,0.71526,0.39987,1.38939,1.07962,1.08851,0.009109,0.009109,0.009109
20,2221.63,1.66225,1.40439,1.17683,0.73481,0.72823,0.71754,0.41009,1.38289,1.06711,1.08714,0.0090595,0.0090595,0.0090595
21,2332.28,1.65006,1.38925,1.17513,0.75359,0.72612,0.71903,0.40816,1.37559,1.06598,1.08621,0.00901,0.00901,0.00901
22,2440.59,1.64265,1.37775,1.16685,0.75568,0.7254,0.7224,0.41044,1.35954,1.03572,1.07816,0.0089605,0.0089605,0.0089605
23,2549.04,1.63302,1.3674,1.16541,0.75374,0.73351,0.72363,0.41546,1.34656,1.02732,1.07478,0.008911,0.008911,0.008911
24,2659.46,1.6336,1.3554,1.15909,0.75569,0.73923,0.72857,0.41922,1.34468,1.01941,1.07525,0.0088615,0.0088615,0.0088615
25,2770.52,1.62557,1.33618,1.15613,0.76834,0.74743,0.7329,0.42157,1.34124,1.00241,1.07861,0.008812,0.008812,0.008812
26,2882.21,1.61906,1.33743,1.15851,0.7624,0.7473,0.7379,0.42707,1.32578,0.99036,1.06435,0.0087625,0.0087625,0.0087625
27,2991.46,1.59874,1.30652,1.14537,0.77202,0.7409,0.73981,0.43093,1.32088,0.97907,1.06146,0.008713,0.008713,0.008713
28,3099.45,1.59677,1.31047,1.14546,0.77173,0.75082,0.74463,0.4332,1.30738,0.96939,1.05586,0.0086635,0.0086635,0.0086635
29,3208.36,1.58879,1.30057,1.14362,0.77001,0.75012,0.73753,0.43076,1.30497,0.97128,1.05753,0.008614,0.008614,0.008614
30,3313.68,1.59623,1.2985,1.1401,0.7682,0.75447,0.74053,0.43211,1.29781,0.97097,1.05426,0.0085645,0.0085645,0.0085645
31,3428.32,1.57817,1.27675,1.13636,0.76773,0.75263,0.73861,0.43228,1.29616,0.96759,1.05273,0.008515,0.008515,0.008515
32,3530.34,1.58341,1.28581,1.13692,0.76793,0.75335,0.74135,0.43319,1.28833,0.96584,1.05026,0.0084655,0.0084655,0.0084655
33,3627.3,1.56695,1.26582,1.13277,0.77362,0.75157,0.74079,0.43697,1.28061,0.95487,1.04742,0.008416,0.008416,0.008416
34,3723.68,1.56446,1.26844,1.12991,0.78249,0.75607,0.74746,0.43937,1.2758,0.9467,1.04264,0.0083665,0.0083665,0.0083665
35,3832.61,1.55814,1.25747,1.12522,0.78366,0.7598,0.74859,0.44092,1.27091,0.93892,1.04008,0.008317,0.008317,0.008317
36,3929.88,1.55991,1.25231,1.12873,0.78069,0.76052,0.74947,0.4434,1.26809,0.93538,1.03793,0.0082675,0.0082675,0.0082675
37,4024.39,1.56188,1.24615,1.12563,0.78327,0.76034,0.74931,0.44461,1.26355,0.93343,1.03446,0.008218,0.008218,0.008218
38,4128.88,1.55111,1.23309,1.12142,0.77857,0.76278,0.74899,0.4458,1.26271,0.93161,1.03408,0.0081685,0.0081685,0.0081685
39,4234.69,1.55691,1.24372,1.12277,0.78468,0.76196,0.75045,0.44784,1.25753,0.93059,1.03124,0.008119,0.008119,0.008119
40,4335.27,1.54072,1.22576,1.11737,0.78252,0.7639,0.75178,0.44889,1.25598,0.92802,1.03075,0.0080695,0.0080695,0.0080695
41,4433.92,1.53549,1.22423,1.11445,0.78616,0.76678,0.7536,0.44942,1.25284,0.92617,1.02824,0.00802,0.00802,0.00802
42,4529.07,1.53674,1.21784,1.11653,0.78697,0.76856,0.75523,0.45107,1.25091,0.92156,1.02655,0.0079705,0.0079705,0.0079705
43,4623.15,1.52886,1.2148,1.11273,0.78986,0.76578,0.75564,0.45145,1.24958,0.91955,1.02523,0.007921,0.007921,0.007921
44,4725.95,1.52469,1.20396,1.10947,0.78901,0.76642,0.75623,0.45184,1.24806,0.91763,1.02629,0.0078715,0.0078715,0.0078715
45,4824.41,1.5231,1.20249,1.109,0.78805,0.76629,0.75652,0.45206,1.24709,0.91679,1.02677,0.007822,0.007822,0.007822
46,4922.14,1.52328,1.19399,1.10549,0.78793,0.76611,0.75749,0.45258,1.24553,0.91465,1.02594,0.0077725,0.0077725,0.0077725
