epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7751,1.97056,2.66699,1.10572,0.49999,0.83166,0.60808,0.24692,1.92945,1.29816,1.07521,0.00332951,0.00332951,0.00332951
2,158.992,1.87401,1.31825,1.07033,0.50508,0.8169,0.63352,0.27975,1.85262,1.20273,1.06014,0.00664086,0.00664086,0.00664086
3,232.887,1.904,1.261,1.08541,0.59425,0.72678,0.69976,0.31748,1.90328,1.28627,1.09948,0.0099302,0.0099302,0.0099302
4,306.638,1.89076,1.22667,1.09314,0.52595,0.76785,0.68799,0.26244,1.92201,1.24442,1.08428,0.009901,0.009901,0.009901
5,380.259,1.83394,1.17472,1.07885,0.57163,0.75344,0.73294,0.32609,1.82606,1.1116,1.05442,0.009868,0.009868,0.009868
6,454.772,1.8012,1.12585,1.06086,0.7077,0.67123,0.76316,0.32949,1.81863,1.25437,1.07154,0.009835,0.009835,0.009835
7,529.384,1.7643,1.07791,1.04866,0.83319,0.74608,0.85875,0.39891,1.84034,1.02644,1.05725,0.009802,0.009802,0.009802
8,602.828,1.73692,1.03871,1.04072,0.86535,0.7499,0.8648,0.42342,1.75487,0.99113,1.03735,0.009769,0.009769,0.009769
9,676.906,1.7131,1.00435,1.0328,0.86889,0.75745,0.87169,0.42379,1.72985,1.03481,1.0324,0.009736,0.009736,0.009736
10,750.483,1.68086,0.97061,1.023,0.82114,0.73579,0.8609,0.42196,1.76802,0.98774,1.03695,0.009703,0.009703,0.009703
11,823.971,1.67416,0.95184,1.02137,0.90523,0.81451,0.90756,0.46793,1.65695,0.87007,1.00464,0.00967,0.00967,0.00967
12,897.164,1.64792,0.93435,1.01301,0.87308,0.82913,0.90877,0.48719,1.63108,0.85852,0.99443,0.009637,0.009637,0.009637
13,971.096,1.64591,0.91819,1.01077,0.89227,0.78125,0.8955,0.48605,1.60191,0.88171,0.99288,0.009604,0.009604,0.009604
14,1045.31,1.61339,0.88973,1.00452,0.88877,0.80189,0.91128,0.50203,1.58691,0.84192,0.98924,0.009571,0.009571,0.009571
15,1118.96,1.6034,0.87932,1.00235,0.89393,0.79975,0.9159,0.51635,1.56156,0.8133,0.98236,0.009538,0.009538,0.009538
16,1192.79,1.58972,0.87243,0.99931,0.90936,0.84002,0.92969,0.52318,1.5636,0.79866,0.9837,0.009505,0.009505,0.009505
17,1266.85,1.57712,0.8432,0.99575,0.88293,0.79214,0.91336,0.51729,1.56779,0.8021,0.98707,0.009472,0.009472,0.009472
18,1340.16,1.56545,0.84027,0.99252,0.91885,0.79206,0.92053,0.51803,1.52698,0.78794,0.97354,0.009439,0.009439,0.009439
19,1413.61,1.55871,0.83658,0.98898,0.91304,0.85192,0.9346,0.5431,1.50967,0.74639,0.96791,0.009406,0.009406,0.009406
20,1487.37,1.52362,0.81325,0.98791,0.89539,0.80763,0.9259,0.54391,1.47093,0.74349,0.9594,0.009373,0.009373,0.009373
21,1560.27,1.53294,0.81117,0.98461,0.89114,0.83085,0.92896,0.5333,1.50804,0.7716,0.97395,0.00934,0.00934,0.00934
22,1633.38,1.52522,0.80613,0.98258,0.90053,0.80132,0.92173,0.53558,1.49409,0.74087,0.96452,0.009307,0.009307,0.009307
23,1706.73,1.51479,0.7886,0.98019,0.92384,0.85547,0.94271,0.5486,1.48013,0.71237,0.96373,0.009274,0.009274,0.009274
24,1779.65,1.50982,0.78472,0.97832,0.92254,0.83028,0.93771,0.56264,1.46207,0.71162,0.95944,0.009241,0.009241,0.009241
25,1853.02,1.49934,0.78813,0.97634,0.90756,0.83598,0.9416,0.56471,1.44061,0.71232,0.95418,0.009208,0.009208,0.009208
26,1926.48,1.49501,0.77054,0.97479,0.91199,0.84376,0.94358,0.57409,1.41458,0.67446,0.94896,0.009175,0.009175,0.009175
27,1999.34,1.48695,0.77536,0.9746,0.92978,0.84659,0.94779,0.56876,1.43056,0.69282,0.95262,0.009142,0.009142,0.009142
28,2072.9,1.48153,0.77135,0.97177,0.89782,0.83883,0.93514,0.57253,1.41376,0.68977,0.9501,0.009109,0.009109,0.009109
29,2144.71,1.47566,0.75619,0.97103,0.91422,0.84335,0.94208,0.57439,1.4087,0.68595,0.94941,0.009076,0.009076,0.009076
30,2217.69,1.471,0.75664,0.96798,0.92771,0.86611,0.9507,0.58302,1.40454,0.66145,0.94429,0.009043,0.009043,0.009043
31,2290.22,1.44931,0.74448,0.96135,0.92881,0.86782,0.95103,0.58258,1.39084,0.66488,0.94025,0.00901,0.00901,0.00901
32,2363.13,1.45519,0.74607,0.9672,0.91255,0.84576,0.94714,0.58284,1.38354,0.65457,0.93648,0.008977,0.008977,0.008977
33,2435.16,1.4571,0.73725,0.96455,0.92288,0.87385,0.95217,0.58351,1.38104,0.64483,0.93765,0.008944,0.008944,0.008944
34,2508.18,1.4444,0.73078,0.9608,0.92518,0.85438,0.95113,0.58932,1.37709,0.64834,0.93772,0.008911,0.008911,0.008911
35,2582.02,1.43917,0.73173,0.96039,0.9254,0.8707,0.95452,0.59776,1.35647,0.63338,0.92923,0.008878,0.008878,0.008878
36,2654.13,1.4377,0.73067,0.95797,0.92352,0.86899,0.95267,0.59506,1.35977,0.63811,0.93395,0.008845,0.008845,0.008845
37,2727.09,1.43112,0.7207,0.9556,0.92396,0.8535,0.94888,0.59239,1.35261,0.64107,0.93237,0.008812,0.008812,0.008812
38,2800.13,1.42734,0.71712,0.95509,0.93252,0.86367,0.95382,0.59408,1.35738,0.63087,0.93091,0.008779,0.008779,0.008779
39,2873.84,1.41975,0.71561,0.95496,0.93131,0.86299,0.95319,0.5992,1.33775,0.62689,0.92749,0.008746,0.008746,0.008746
40,2947.16,1.41827,0.71167,0.95457,0.93244,0.87213,0.95933,0.60793,1.32118,0.61058,0.92094,0.008713,0.008713,0.008713
41,3019.37,1.40219,0.70128,0.95438,0.93324,0.87873,0.95971,0.60657,1.31932,0.61036,0.92246,0.00868,0.00868,0.00868
42,3092.73,1.40227,0.70059,0.95174,0.92713,0.87615,0.95453,0.6061,1.32217,0.61252,0.9229,0.008647,0.008647,0.008647
43,3165.09,1.3995,0.69381,0.95117,0.94104,0.8836,0.96206,0.61306,1.30676,0.59698,0.91815,0.008614,0.008614,0.008614
44,3237.23,1.38565,0.69035,0.94965,0.93686,0.88073,0.96064,0.61648,1.29628,0.59448,0.91612,0.008581,0.008581,0.008581
45,3310.03,1.39146,0.6951,0.94875,0.92769,0.87537,0.95627,0.61316,1.29212,0.60143,0.91609,0.008548,0.008548,0.008548
46,3383.28,1.3867,0.68859,0.94565,0.92471,0.88819,0.95943,0.61503,1.29301,0.59747,0.91614,0.008515,0.008515,0.008515
47,3455.16,1.38293,0.6864,0.94184,0.9282,0.88733,0.95993,0.61674,1.28547,0.59328,0.91426,0.008482,0.008482,0.008482
48,3528.55,1.37545,0.6826,0.94641,0.93566,0.88274,0.96161,0.61976,1.28317,0.59142,0.91428,0.008449,0.008449,0.008449
49,3601.05,1.37311,0.68383,0.94395,0.9366,0.88939,0.9631,0.62351,1.2748,0.58433,0.91299,0.008416,0.008416,0.008416
50,3673.7,1.37684,0.6815,0.94244,0.93557,0.88262,0.96061,0.62355,1.2683,0.58448,0.91232,0.008383,0.008383,0.008383
51,3745.94,1.37614,0.68068,0.94341,0.93562,0.88217,0.96002,0.62475,1.2641,0.58016,0.90994,0.00835,0.00835,0.00835
52,3818.62,1.36501,0.67613,0.93972,0.92727,0.89249,0.96337,0.62535,1.25812,0.57847,0.90819,0.008317,0.008317,0.008317
53,3891.57,1.35237,0.66815,0.93786,0.93946,0.88979,0.9633,0.62789,1.25589,0.57366,0.90837,0.008284,0.008284,0.008284
54,3963.59,1.34104,0.65727,0.93717,0.93567,0.88819,0.96316,0.62999,1.25073,0.57218,0.90696,0.008251,0.008251,0.008251
55,4036.65,1.35728,0.67105,0.93787,0.93534,0.89576,0.96607,0.63223,1.24556,0.56767,0.90553,0.008218,0.008218,0.008218
56,4108.71,1.34729,0.65951,0.9378,0.93597,0.8968,0.96563,0.63449,1.24081,0.55972,0.90454,0.008185,0.008185,0.008185
57,4182.3,1.33628,0.64884,0.93262,0.93175,0.90711,0.9675,0.63661,1.23608,0.55518,0.90341,0.008152,0.008152,0.008152
58,4255.35,1.32441,0.6504,0.93316,0.9389,0.89868,0.96757,0.63827,1.23189,0.55186,0.90243,0.008119,0.008119,0.008119
59,4327.32,1.33623,0.65687,0.93443,0.94283,0.89837,0.96904,0.63857,1.22666,0.54886,0.90113,0.008086,0.008086,0.008086
60,4400.47,1.32705,0.64726,0.93323,0.94913,0.89019,0.96818,0.63866,1.22441,0.54821,0.90072,0.008053,0.008053,0.008053
61,4473.24,1.33363,0.65086,0.9315,0.94836,0.88979,0.96789,0.64018,1.22141,0.54747,0.90021,0.00802,0.00802,0.00802
62,4543.14,1.31402,0.6401,0.93012,0.95033,0.88869,0.96806,0.64056,1.2206,0.54695,0.89999,0.007987,0.007987,0.007987
63,4614.57,1.31811,0.64773,0.92934,0.94948,0.8922,0.96702,0.64142,1.21856,0.54505,0.89931,0.007954,0.007954,0.007954
64,4687.74,1.32346,0.64259,0.92727,0.94828,0.89507,0.9688,0.64333,1.21565,0.54505,0.89843,0.007921,0.007921,0.007921
65,4760.6,1.30573,0.63765,0.92342,0.95144,0.89077,0.96812,0.64353,1.21261,0.54472,0.89766,0.007888,0.007888,0.007888
66,4834.75,1.31514,0.63288,0.92662,0.95049,0.89158,0.96858,0.64502,1.20986,0.54215,0.89702,0.007855,0.007855,0.007855
67,4906.92,1.30932,0.63666,0.92351,0.95246,0.89192,0.96948,0.64679,1.20737,0.53974,0.89627,0.007822,0.007822,0.007822
68,4979.6,1.30313,0.63463,0.92509,0.94663,0.90016,0.96955,0.6481,1.20284,0.53761,0.89544,0.007789,0.007789,0.007789
69,5053.72,1.29818,0.62685,0.92479,0.94912,0.89822,0.96986,0.6481,1.19905,0.53452,0.89446,0.007756,0.007756,0.007756
70,5127.03,1.29863,0.62957,0.92495,0.94942,0.89868,0.97018,0.64972,1.19498,0.5334,0.89363,0.007723,0.007723,0.007723
71,5200.19,1.29082,0.6233,0.92147,0.95097,0.90078,0.97075,0.65051,1.19171,0.53191,0.89291,0.00769,0.00769,0.00769
72,5273.07,1.28979,0.62315,0.9196,0.94923,0.9031,0.97068,0.65218,1.18868,0.53008,0.8924,0.007657,0.007657,0.007657
73,5345.96,1.29366,0.63139,0.92486,0.94955,0.90396,0.97124,0.65217,1.18551,0.52909,0.8918,0.007624,0.007624,0.007624
