epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7974,1.01952,1.53185,1.20647,0.80259,0.77491,0.79671,0.49691,1.16135,1.41043,1.37551,0.000664242,0.000664242,0.000664242
2,31.7419,1.07298,1.17419,1.23323,0.85813,0.76864,0.82944,0.57584,1.04713,1.29217,1.25514,0.00131773,0.00131773,0.00131773
3,45.4636,1.06847,1.02328,1.23297,0.84013,0.79834,0.8344,0.61019,0.95966,0.88772,1.19697,0.00195802,0.00195802,0.00195802
4,59.0101,1.04322,0.94504,1.22133,0.8972,0.82873,0.84483,0.62366,0.98856,0.80684,1.18422,0.0019406,0.0019406,0.0019406
5,72.5478,1.01203,0.88575,1.19647,0.87866,0.82597,0.8633,0.6081,1.0034,0.73188,1.20598,0.0019208,0.0019208,0.0019208
6,85.93,0.99668,0.85178,1.191,0.88926,0.84293,0.88276,0.66772,0.93437,0.65269,1.16236,0.001901,0.001901,0.001901
7,99.3824,0.98235,0.77483,1.18446,0.88562,0.81281,0.86249,0.63525,0.94674,0.78779,1.15482,0.0018812,0.0018812,0.0018812
8,112.597,0.95683,0.77778,1.16248,0.89974,0.81806,0.88123,0.66109,0.87685,0.70493,1.15583,0.0018614,0.0018614,0.0018614
9,126.016,0.92254,0.74623,1.14646,0.94185,0.85635,0.90279,0.68057,0.90936,0.59504,1.13064,0.0018416,0.0018416,0.0018416
10,139.455,0.92967,0.73042,1.14381,0.89874,0.8581,0.89501,0.6842,0.86295,0.59679,1.10322,0.0018218,0.0018218,0.0018218
11,152.901,0.92654,0.70402,1.15365,0.88984,0.81768,0.88247,0.6609,0.89803,0.64214,1.1147,0.001802,0.001802,0.001802
12,166.264,0.89603,0.68644,1.12778,0.90351,0.8536,0.89291,0.67475,0.87085,0.59157,1.11126,0.0017822,0.0017822,0.0017822
13,179.601,0.91328,0.6955,1.14228,0.9306,0.85194,0.90723,0.70783,0.83588,0.54958,1.07986,0.0017624,0.0017624,0.0017624
14,192.714,0.8812,0.67219,1.12802,0.91425,0.87017,0.91175,0.69945,0.83773,0.53198,1.11329,0.0017426,0.0017426,0.0017426
15,205.798,0.86785,0.64769,1.11963,0.93206,0.8717,0.91483,0.70708,0.83384,0.50101,1.10849,0.0017228,0.0017228,0.0017228
16,218.899,0.86786,0.64632,1.11543,0.91459,0.82873,0.89865,0.69229,0.85857,0.57011,1.0954,0.001703,0.001703,0.001703
17,232.083,0.86486,0.64611,1.11779,0.90092,0.89227,0.91203,0.69947,0.8429,0.51215,1.09158,0.0016832,0.0016832,0.0016832
18,245.15,0.85491,0.63981,1.10847,0.89484,0.87569,0.91829,0.70438,0.83941,0.51151,1.07252,0.0016634,0.0016634,0.0016634
19,258.237,0.85131,0.61237,1.11015,0.91762,0.89237,0.91519,0.70597,0.79637,0.48978,1.07643,0.0016436,0.0016436,0.0016436
20,270.988,0.85203,0.60806,1.10932,0.92004,0.88398,0.92138,0.71245,0.81757,0.49651,1.1022,0.0016238,0.0016238,0.0016238
21,283.858,0.84781,0.6046,1.10987,0.92983,0.84254,0.91628,0.70774,0.83854,0.52532,1.09921,0.001604,0.001604,0.001604
22,297.026,0.83568,0.58808,1.09331,0.87778,0.87294,0.92178,0.7059,0.82556,0.5443,1.10313,0.0015842,0.0015842,0.0015842
23,310.271,0.8273,0.57689,1.09361,0.92974,0.87729,0.92703,0.71648,0.81912,0.4667,1.06936,0.0015644,0.0015644,0.0015644
24,323.496,0.83382,0.59273,1.09587,0.88638,0.90331,0.93584,0.72757,0.84406,0.46577,1.0803,0.0015446,0.0015446,0.0015446
25,336.683,0.82775,0.57648,1.0924,0.91486,0.86077,0.92468,0.71085,0.80879,0.51045,1.07979,0.0015248,0.0015248,0.0015248
26,349.748,0.82668,0.57686,1.09681,0.94244,0.87017,0.93339,0.72176,0.79909,0.50467,1.08505,0.001505,0.001505,0.001505
27,362.879,0.82746,0.57503,1.09063,0.93404,0.84254,0.91397,0.72855,0.79438,0.47946,1.0673,0.0014852,0.0014852,0.0014852
28,375.584,0.80157,0.55944,1.07917,0.91752,0.86041,0.92917,0.71924,0.80085,0.49541,1.07394,0.0014654,0.0014654,0.0014654
29,388.377,0.8169,0.56153,1.08223,0.90519,0.86188,0.91763,0.72059,0.79062,0.46601,1.06023,0.0014456,0.0014456,0.0014456
30,401.547,0.8108,0.56951,1.08065,0.94026,0.88122,0.93259,0.72076,0.79468,0.44887,1.06256,0.0014258,0.0014258,0.0014258
31,414.656,0.81101,0.56258,1.08455,0.95719,0.86473,0.93407,0.72495,0.81068,0.49602,1.06946,0.001406,0.001406,0.001406
32,427.397,0.79301,0.55429,1.06708,0.91938,0.88207,0.93256,0.7264,0.80112,0.47158,1.05501,0.0013862,0.0013862,0.0013862
33,440.623,0.78662,0.54,1.07611,0.92441,0.88398,0.9322,0.7326,0.78508,0.45605,1.06632,0.0013664,0.0013664,0.0013664
34,453.554,0.79398,0.54052,1.07071,0.91614,0.90055,0.93453,0.72726,0.7934,0.45312,1.06557,0.0013466,0.0013466,0.0013466
35,466.291,0.78621,0.53162,1.06592,0.93565,0.88365,0.92865,0.72635,0.80261,0.48985,1.06586,0.0013268,0.0013268,0.0013268
36,479.09,0.7857,0.54266,1.07819,0.94232,0.85752,0.92861,0.73047,0.79257,0.47707,1.0707,0.001307,0.001307,0.001307
37,493.083,0.77399,0.52023,1.06862,0.93781,0.86464,0.93175,0.71948,0.81639,0.46151,1.0859,0.0012872,0.0012872,0.0012872
38,506.592,0.77022,0.51453,1.06457,0.94274,0.87293,0.94033,0.74101,0.76465,0.4421,1.04522,0.0012674,0.0012674,0.0012674
39,519.508,0.7756,0.51575,1.06505,0.89276,0.91989,0.9402,0.72838,0.79781,0.45392,1.08004,0.0012476,0.0012476,0.0012476
40,532.127,0.78333,0.52093,1.06409,0.93023,0.8839,0.94303,0.74922,0.77306,0.43013,1.05602,0.0012278,0.0012278,0.0012278
41,544.841,0.76677,0.51462,1.0604,0.94424,0.88874,0.93223,0.73494,0.78437,0.43439,1.0726,0.001208,0.001208,0.001208
42,557.426,0.75953,0.50546,1.05942,0.91507,0.89503,0.94234,0.74723,0.75043,0.42802,1.0525,0.0011882,0.0011882,0.0011882
43,570.023,0.78124,0.50539,1.0659,0.94589,0.86914,0.94134,0.75121,0.76409,0.41651,1.0582,0.0011684,0.0011684,0.0011684
44,582.738,0.76353,0.50857,1.0561,0.92905,0.89503,0.93948,0.73806,0.76898,0.43071,1.06058,0.0011486,0.0011486,0.0011486
45,595.323,0.7497,0.48794,1.05278,0.90556,0.90608,0.94718,0.75124,0.78645,0.43934,1.06917,0.0011288,0.0011288,0.0011288
46,608.234,0.74554,0.48737,1.05878,0.89928,0.91255,0.93674,0.74327,0.77357,0.42903,1.06439,0.001109,0.001109,0.001109
47,621.366,0.75006,0.48857,1.05261,0.97143,0.84535,0.93818,0.74272,0.76425,0.426,1.06191,0.0010892,0.0010892,0.0010892
48,634.256,0.74478,0.48043,1.05185,0.92283,0.91989,0.95697,0.76254,0.78182,0.39844,1.05879,0.0010694,0.0010694,0.0010694
49,647.49,0.7398,0.47814,1.05408,0.92438,0.91173,0.95466,0.74716,0.79849,0.4281,1.0766,0.0010496,0.0010496,0.0010496
50,660.783,0.73651,0.48575,1.05163,0.92439,0.89503,0.94906,0.75612,0.72637,0.4205,1.04158,0.0010298,0.0010298,0.0010298
51,674.119,0.74019,0.4761,1.04263,0.94023,0.8674,0.94349,0.73524,0.81493,0.47627,1.07577,0.00101,0.00101,0.00101
52,687.532,0.74143,0.4651,1.04231,0.95334,0.84669,0.92727,0.73752,0.77235,0.42564,1.05784,0.0009902,0.0009902,0.0009902
53,700.876,0.7347,0.46362,1.03724,0.93092,0.87017,0.93461,0.75296,0.75589,0.41594,1.05677,0.0009704,0.0009704,0.0009704
54,714.203,0.72784,0.46808,1.04266,0.95773,0.87626,0.94049,0.74831,0.79234,0.41672,1.07434,0.0009506,0.0009506,0.0009506
55,727.146,0.72762,0.46274,1.04609,0.92401,0.90331,0.95185,0.75443,0.7526,0.4022,1.04596,0.0009308,0.0009308,0.0009308
56,740.205,0.72028,0.46493,1.03501,0.92368,0.90269,0.95338,0.76027,0.74391,0.41502,1.05146,0.000911,0.000911,0.000911
57,753.194,0.71235,0.4525,1.03065,0.93225,0.90608,0.95788,0.7596,0.77092,0.40347,1.05601,0.0008912,0.0008912,0.0008912
58,766.147,0.72731,0.46659,1.04254,0.89793,0.91713,0.95525,0.76241,0.75116,0.41282,1.04697,0.0008714,0.0008714,0.0008714
