epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7771,0.98041,1.53538,1.17135,0.77252,0.5221,0.66631,0.44327,1.16413,1.80875,1.27885,0.000661836,0.000661836,0.000661836
2,25.8497,1.02445,1.15626,1.20218,0.82072,0.73347,0.80297,0.52837,1.04425,1.16613,1.23386,0.00131535,0.00131535,0.00131535
3,36.7103,1.05948,1.00462,1.21566,0.91586,0.76243,0.86415,0.60514,1.02289,0.81841,1.19989,0.00195566,0.00195566,0.00195566
4,47.3049,1.02379,0.92014,1.19682,0.89262,0.78453,0.85585,0.60641,1.10559,0.75399,1.27979,0.0019406,0.0019406,0.0019406
5,57.9559,0.99316,0.84478,1.18344,0.86506,0.72609,0.81531,0.58193,0.98237,0.90558,1.16441,0.0019208,0.0019208,0.0019208
6,68.4236,0.96956,0.82764,1.16425,0.85818,0.78729,0.84692,0.61252,0.97061,0.75292,1.20453,0.001901,0.001901,0.001901
7,78.813,0.95148,0.76345,1.15026,0.89633,0.8011,0.85681,0.62775,0.93418,0.70556,1.12932,0.0018812,0.0018812,0.0018812
8,89.1911,0.93261,0.73938,1.14463,0.92737,0.82044,0.88723,0.68241,0.86,0.59562,1.09982,0.0018614,0.0018614,0.0018614
9,99.672,0.90127,0.70673,1.13789,0.92311,0.79834,0.86911,0.63775,0.90861,0.66925,1.13505,0.0018416,0.0018416,0.0018416
10,110.159,0.90602,0.68893,1.13927,0.89479,0.82044,0.8809,0.67264,0.88973,0.60028,1.13538,0.0018218,0.0018218,0.0018218
11,120.741,0.90804,0.69818,1.13741,0.91606,0.87428,0.9165,0.68512,0.94211,0.56069,1.11363,0.001802,0.001802,0.001802
12,131.109,0.88015,0.66594,1.12375,0.90143,0.87569,0.90699,0.70071,0.82982,0.5176,1.09943,0.0017822,0.0017822,0.0017822
13,141.643,0.8636,0.65033,1.11106,0.9276,0.84807,0.89953,0.67596,0.89327,0.55361,1.12458,0.0017624,0.0017624,0.0017624
14,152.34,0.87827,0.64782,1.11744,0.90729,0.83806,0.89667,0.70289,0.85724,0.54797,1.09246,0.0017426,0.0017426,0.0017426
15,163.146,0.86153,0.63222,1.10936,0.9254,0.87845,0.93124,0.71694,0.8039,0.4954,1.0894,0.0017228,0.0017228,0.0017228
16,173.69,0.84781,0.61452,1.0977,0.92012,0.82735,0.89904,0.68486,0.8717,0.53402,1.12477,0.001703,0.001703,0.001703
17,184.501,0.86773,0.61647,1.1039,0.94433,0.85635,0.91753,0.71254,0.85423,0.50999,1.0927,0.0016832,0.0016832,0.0016832
18,194.909,0.83971,0.59969,1.09473,0.91409,0.85635,0.90544,0.70925,0.80824,0.49209,1.08084,0.0016634,0.0016634,0.0016634
19,205.365,0.84522,0.60375,1.09442,0.9259,0.86293,0.91273,0.71983,0.81654,0.48168,1.09155,0.0016436,0.0016436,0.0016436
20,216.112,0.84678,0.59984,1.10026,0.93457,0.8286,0.89418,0.68091,0.81407,0.52868,1.09987,0.0016238,0.0016238,0.0016238
21,226.755,0.8242,0.57262,1.08906,0.93783,0.83702,0.91035,0.70015,0.84103,0.52413,1.11002,0.001604,0.001604,0.001604
22,237.462,0.81529,0.56435,1.07509,0.92386,0.87143,0.92704,0.71709,0.77307,0.47888,1.05888,0.0015842,0.0015842,0.0015842
23,248.167,0.81455,0.55699,1.08439,0.93792,0.87637,0.93815,0.72601,0.79055,0.44613,1.08869,0.0015644,0.0015644,0.0015644
24,258.798,0.81325,0.57655,1.08249,0.92349,0.85912,0.92155,0.72444,0.79489,0.4624,1.05708,0.0015446,0.0015446,0.0015446
25,269.478,0.79498,0.53466,1.06846,0.92893,0.8674,0.92189,0.69369,0.86461,0.4953,1.11324,0.0015248,0.0015248,0.0015248
26,280.115,0.80585,0.56021,1.07121,0.90288,0.85635,0.92223,0.71564,0.75976,0.50238,1.04819,0.001505,0.001505,0.001505
27,291.071,0.79119,0.52799,1.0658,0.90854,0.87808,0.94105,0.74288,0.77437,0.45785,1.05854,0.0014852,0.0014852,0.0014852
28,301.7,0.80276,0.54139,1.07412,0.93596,0.8453,0.93468,0.71556,0.77992,0.47183,1.0693,0.0014654,0.0014654,0.0014654
29,312.2,0.78735,0.53014,1.06613,0.8919,0.84332,0.89913,0.69016,0.81585,0.5267,1.0873,0.0014456,0.0014456,0.0014456
30,322.724,0.78847,0.52578,1.07148,0.91988,0.89227,0.92794,0.73271,0.78906,0.44995,1.0752,0.0014258,0.0014258,0.0014258
31,333.309,0.78299,0.52748,1.06617,0.92357,0.83451,0.92222,0.71982,0.84406,0.49372,1.07717,0.001406,0.001406,0.001406
32,343.999,0.7773,0.51287,1.05971,0.94032,0.8453,0.93324,0.72902,0.79976,0.48668,1.07652,0.0013862,0.0013862,0.0013862
33,354.71,0.76504,0.50349,1.05168,0.95857,0.8453,0.94008,0.73718,0.79691,0.44494,1.02963,0.0013664,0.0013664,0.0013664
34,365.297,0.77308,0.4987,1.05575,0.9087,0.91989,0.95255,0.75546,0.7476,0.40911,1.05955,0.0013466,0.0013466,0.0013466
35,376.038,0.7625,0.50714,1.0479,0.92974,0.85359,0.94399,0.74007,0.82992,0.46026,1.06446,0.0013268,0.0013268,0.0013268
36,386.579,0.7477,0.48849,1.04029,0.87831,0.9116,0.9445,0.75116,0.78069,0.4423,1.04166,0.001307,0.001307,0.001307
37,397.366,0.7571,0.49577,1.05021,0.93642,0.87293,0.9363,0.73888,0.78131,0.43541,1.06299,0.0012872,0.0012872,0.0012872
38,407.917,0.75303,0.49768,1.0383,0.96191,0.86464,0.94175,0.73962,0.80208,0.43985,1.04981,0.0012674,0.0012674,0.0012674
39,418.519,0.75592,0.48354,1.04131,0.89373,0.90884,0.94139,0.73116,0.79643,0.4401,1.05254,0.0012476,0.0012476,0.0012476
40,429.05,0.73999,0.48122,1.03765,0.91246,0.87845,0.92409,0.72375,0.78731,0.43561,1.06918,0.0012278,0.0012278,0.0012278
41,439.901,0.73176,0.4643,1.0351,0.96522,0.84318,0.91818,0.74002,0.76981,0.46215,1.02023,0.001208,0.001208,0.001208
42,450.466,0.75073,0.47189,1.04876,0.92763,0.88526,0.95127,0.73659,0.76936,0.43057,1.0483,0.0011882,0.0011882,0.0011882
43,461.006,0.73725,0.47233,1.03656,0.94759,0.89904,0.94945,0.75178,0.72845,0.4264,1.02366,0.0011684,0.0011684,0.0011684
44,471.51,0.72171,0.4681,1.02587,0.95197,0.87606,0.93113,0.73755,0.7583,0.41607,1.06741,0.0011486,0.0011486,0.0011486
45,482.101,0.73767,0.46724,1.03316,0.94328,0.85912,0.94294,0.74208,0.80613,0.42195,1.06509,0.0011288,0.0011288,0.0011288
46,492.7,0.70987,0.45236,1.02946,0.93022,0.90331,0.95435,0.7561,0.77992,0.39612,1.05821,0.001109,0.001109,0.001109
47,503.24,0.7331,0.4653,1.04171,0.93286,0.88674,0.94246,0.74678,0.76058,0.41347,1.05119,0.0010892,0.0010892,0.0010892
48,513.706,0.71676,0.44136,1.03252,0.92357,0.88398,0.93847,0.75053,0.77466,0.42908,1.04783,0.0010694,0.0010694,0.0010694
49,524.223,0.71664,0.45693,1.03472,0.9498,0.87569,0.95361,0.75064,0.82633,0.4266,1.06109,0.0010496,0.0010496,0.0010496
50,534.755,0.7162,0.44378,1.02238,0.96247,0.85083,0.94423,0.7437,0.76528,0.41746,1.06172,0.0010298,0.0010298,0.0010298
51,545.158,0.71839,0.44815,1.02948,0.95031,0.86464,0.9458,0.76782,0.74098,0.39352,1.04017,0.00101,0.00101,0.00101
52,555.643,0.69656,0.43811,1.02015,0.91755,0.90055,0.95083,0.75538,0.7528,0.39242,1.0488,0.0009902,0.0009902,0.0009902
53,566.312,0.70692,0.44544,1.02213,0.90252,0.91713,0.94589,0.76724,0.75875,0.37745,1.05336,0.0009704,0.0009704,0.0009704
54,576.856,0.70822,0.43781,1.02172,0.92705,0.92265,0.95377,0.75457,0.77139,0.39688,1.04118,0.0009506,0.0009506,0.0009506
55,587.397,0.70159,0.43889,1.02202,0.92563,0.88398,0.95152,0.75755,0.75234,0.39489,1.05213,0.0009308,0.0009308,0.0009308
56,597.968,0.69399,0.43109,1.01149,0.9317,0.90434,0.94968,0.7542,0.73781,0.38068,1.03672,0.000911,0.000911,0.000911
57,608.465,0.68919,0.42085,1.01447,0.93668,0.87845,0.94715,0.75806,0.73195,0.42805,1.04635,0.0008912,0.0008912,0.0008912
58,618.953,0.69394,0.42591,1.02111,0.94193,0.85635,0.94942,0.76033,0.78222,0.40016,1.03724,0.0008714,0.0008714,0.0008714
59,629.686,0.69648,0.42116,1.01557,0.92276,0.92405,0.95616,0.76591,0.73298,0.37107,1.04048,0.0008516,0.0008516,0.0008516
60,640.165,0.67572,0.43126,1.00543,0.92562,0.8938,0.95242,0.75409,0.74397,0.38963,1.0582,0.0008318,0.0008318,0.0008318
61,650.689,0.67798,0.40931,1.00826,0.90836,0.9116,0.95208,0.75547,0.73498,0.40024,1.01402,0.000812,0.000812,0.000812
62,661.298,0.6882,0.42,1.01371,0.95452,0.8697,0.95418,0.76377,0.73233,0.38346,1.03331,0.0007922,0.0007922,0.0007922
63,671.652,0.6704,0.41278,1.00142,0.91837,0.88398,0.95269,0.75257,0.78048,0.41855,1.03812,0.0007724,0.0007724,0.0007724
64,682.308,0.67713,0.40487,1.01134,0.92852,0.89712,0.9502,0.76083,0.7735,0.4298,1.06091,0.0007526,0.0007526,0.0007526
65,692.854,0.6737,0.41177,1.0083,0.96672,0.90331,0.96234,0.76273,0.74934,0.37309,1.06442,0.0007328,0.0007328,0.0007328
66,703.408,0.65761,0.39796,0.99333,0.93029,0.89503,0.95641,0.76624,0.74844,0.38095,1.0593,0.000713,0.000713,0.000713
67,714.064,0.66991,0.39733,1.00182,0.91686,0.92541,0.96291,0.76525,0.77649,0.37533,1.06465,0.0006932,0.0006932,0.0006932
68,724.721,0.66987,0.40151,0.99883,0.9319,0.90724,0.95853,0.75921,0.74583,0.36702,1.04645,0.0006734,0.0006734,0.0006734
69,735.351,0.64151,0.38,0.99304,0.937,0.89503,0.95662,0.76281,0.77147,0.39503,1.0578,0.0006536,0.0006536,0.0006536
