epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7038,1.96738,2.67107,1.10571,0.50394,0.7555,0.59242,0.2511,1.95801,1.37774,1.08513,0.00332951,0.00332951,0.00332951
2,161.307,1.87664,1.31741,1.06984,0.49846,0.85225,0.66292,0.29784,1.85885,1.21086,1.0589,0.00664086,0.00664086,0.00664086
3,237.947,1.90915,1.25763,1.09235,0.50812,0.79128,0.62498,0.23699,1.93554,1.29271,1.08925,0.0099302,0.0099302,0.0099302
4,331.3,1.89315,1.2166,1.10328,0.55102,0.81795,0.70514,0.31741,1.78349,1.13077,1.05992,0.009901,0.009901,0.009901
5,406.388,1.83433,1.18219,1.08261,0.60192,0.79722,0.74008,0.30377,1.81962,1.14539,1.06146,0.009868,0.009868,0.009868
6,490.452,1.79534,1.14174,1.06255,0.67637,0.71617,0.76801,0.31116,1.74174,1.17603,1.04312,0.009835,0.009835,0.009835
7,579.44,1.76819,1.08838,1.05515,0.79848,0.72362,0.83546,0.37345,1.79442,1.0789,1.04225,0.009802,0.009802,0.009802
8,652.976,1.73801,1.05534,1.04268,0.87984,0.79272,0.88481,0.43134,1.74168,0.96982,1.03624,0.009769,0.009769,0.009769
9,727.67,1.7181,1.00984,1.03781,0.82735,0.7625,0.86371,0.41269,1.70775,0.98183,1.02173,0.009736,0.009736,0.009736
10,803.034,1.68781,0.98094,1.02645,0.83888,0.73968,0.8732,0.44382,1.72316,0.97405,1.02516,0.009703,0.009703,0.009703
11,878.192,1.6753,0.96183,1.02115,0.90402,0.79587,0.91302,0.48029,1.62924,0.87308,1.00094,0.00967,0.00967,0.00967
12,952.682,1.6521,0.94483,1.01195,0.87854,0.81498,0.90894,0.47667,1.62438,0.85438,0.9994,0.009637,0.009637,0.009637
13,1028.31,1.63724,0.92796,1.00964,0.86629,0.81967,0.91088,0.50131,1.57142,0.85029,0.98943,0.009604,0.009604,0.009604
14,1102.58,1.60856,0.89594,1.00491,0.90022,0.8381,0.92139,0.50982,1.5717,0.80913,0.98606,0.009571,0.009571,0.009571
15,1177.25,1.59624,0.88742,1.00141,0.89708,0.8297,0.92671,0.51243,1.55182,0.80965,0.98344,0.009538,0.009538,0.009538
16,1252.14,1.58897,0.87446,1.00172,0.87407,0.77407,0.89832,0.49812,1.57119,0.83599,0.98743,0.009505,0.009505,0.009505
17,1326.74,1.58261,0.86222,0.99692,0.91184,0.8125,0.92233,0.50587,1.55564,0.81787,0.97819,0.009472,0.009472,0.009472
18,1400.37,1.57344,0.84697,0.99499,0.9023,0.76978,0.91393,0.5164,1.53025,0.81408,0.97444,0.009439,0.009439,0.009439
19,1474.76,1.55727,0.833,0.98922,0.91845,0.83572,0.93161,0.52086,1.5379,0.7904,0.98,0.009406,0.009406,0.009406
20,1549.58,1.53027,0.82208,0.99037,0.89177,0.80314,0.91971,0.52848,1.49855,0.77765,0.96601,0.009373,0.009373,0.009373
21,1624.46,1.5341,0.80723,0.98483,0.8923,0.82139,0.92077,0.51891,1.53979,0.78734,0.97863,0.00934,0.00934,0.00934
22,1698.92,1.53757,0.80946,0.98531,0.8702,0.83419,0.92613,0.5249,1.51648,0.75534,0.97151,0.009307,0.009307,0.009307
23,1773.69,1.52189,0.79568,0.9819,0.91451,0.84662,0.9403,0.54814,1.45922,0.7209,0.95766,0.009274,0.009274,0.009274
24,1848.58,1.5101,0.79274,0.97858,0.90052,0.84289,0.93666,0.54485,1.47132,0.73717,0.96275,0.009241,0.009241,0.009241
25,1923.72,1.49583,0.78399,0.97464,0.89708,0.81221,0.93057,0.54773,1.45242,0.73555,0.95825,0.009208,0.009208,0.009208
