epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7613,1.96738,2.67107,1.10571,0.50394,0.7555,0.59242,0.2511,1.95801,1.37774,1.08513,0.00332951,0.00332951,0.00332951
2,166.463,1.87438,1.31852,1.07047,0.48805,0.67804,0.64145,0.28348,1.87675,1.24645,1.06082,0.00664965,0.00664965,0.00664965
3,244.851,1.90609,1.26021,1.08712,0.60401,0.70986,0.69713,0.27976,1.92203,1.25664,1.10902,0.00995659,0.00995659,0.00995659
4,321.385,1.89285,1.22105,1.09629,0.53494,0.78354,0.69087,0.30119,1.849,1.17748,1.07079,0.0099406,0.0099406,0.0099406
5,397.798,1.83278,1.17826,1.07964,0.56973,0.73538,0.71016,0.31759,1.79267,1.12186,1.0664,0.0099208,0.0099208,0.0099208
6,474.985,1.79492,1.14924,1.06354,0.67885,0.6875,0.75787,0.29931,1.825,1.20532,1.0613,0.009901,0.009901,0.009901
7,552.534,1.76374,1.09274,1.05203,0.79418,0.72391,0.83859,0.3884,1.82059,1.06718,1.05245,0.0098812,0.0098812,0.0098812
8,629.783,1.74481,1.05658,1.04274,0.89745,0.81135,0.90627,0.45039,1.72155,0.94004,1.02695,0.0098614,0.0098614,0.0098614
9,707.058,1.71188,1.00949,1.03419,0.82173,0.77265,0.86422,0.43912,1.68535,0.95329,1.02002,0.0098416,0.0098416,0.0098416
10,784.71,1.69318,0.97984,1.0266,0.80526,0.78182,0.87489,0.43833,1.69108,0.95859,1.02152,0.0098218,0.0098218,0.0098218
11,860.999,1.68136,0.95882,1.02322,0.88903,0.8039,0.90561,0.47407,1.62274,0.88756,0.99837,0.009802,0.009802,0.009802
12,937.03,1.65393,0.94014,1.0141,0.89681,0.80734,0.90618,0.48701,1.62324,0.86948,1.00484,0.0097822,0.0097822,0.0097822
13,1013.66,1.64241,0.91718,1.01248,0.89512,0.82282,0.91827,0.4892,1.60203,0.8554,0.99427,0.0097624,0.0097624,0.0097624
14,1090.09,1.6124,0.88822,1.00534,0.89367,0.81107,0.91675,0.52063,1.55859,0.79944,0.98428,0.0097426,0.0097426,0.0097426
15,1166.51,1.59688,0.87735,1.00157,0.90834,0.8254,0.92801,0.52492,1.55519,0.77932,0.98361,0.0097228,0.0097228,0.0097228
16,1243.08,1.59768,0.8689,1.00192,0.89004,0.83228,0.91986,0.5272,1.54506,0.79468,0.9824,0.009703,0.009703,0.009703
17,1319.6,1.58526,0.8561,0.99675,0.90416,0.77628,0.91261,0.51285,1.54839,0.81795,0.98515,0.0096832,0.0096832,0.0096832
18,1396.15,1.56937,0.84346,0.99382,0.89611,0.79616,0.92051,0.52539,1.5185,0.78689,0.97704,0.0096634,0.0096634,0.0096634
19,1471.78,1.56653,0.83831,0.99141,0.91188,0.81021,0.92705,0.53671,1.50162,0.76627,0.96819,0.0096436,0.0096436,0.0096436
20,1547.95,1.52686,0.81319,0.98812,0.90546,0.82425,0.93115,0.54613,1.46504,0.7342,0.96145,0.0096238,0.0096238,0.0096238
21,1624.07,1.5366,0.81157,0.98514,0.89386,0.84261,0.93211,0.5345,1.51414,0.75857,0.97658,0.009604,0.009604,0.009604
22,1698.71,1.5294,0.80705,0.9828,0.9038,0.80648,0.92079,0.53357,1.49208,0.73984,0.96732,0.0095842,0.0095842,0.0095842
23,1774.34,1.5324,0.80213,0.98358,0.92887,0.84719,0.93963,0.55232,1.47079,0.7129,0.96257,0.0095644,0.0095644,0.0095644
24,1849.8,1.51711,0.78975,0.98055,0.92884,0.86448,0.94756,0.56019,1.45304,0.70122,0.95932,0.0095446,0.0095446,0.0095446
25,1926.03,1.50367,0.79401,0.97736,0.89629,0.82253,0.93213,0.55939,1.43336,0.72496,0.95447,0.0095248,0.0095248,0.0095248
26,2001.53,1.50213,0.77841,0.97711,0.91054,0.82196,0.9396,0.56316,1.4267,0.69703,0.95048,0.009505,0.009505,0.009505
27,2077.36,1.49722,0.77969,0.97702,0.91376,0.8414,0.93903,0.56466,1.43413,0.69786,0.95559,0.0094852,0.0094852,0.0094852
28,2153.68,1.48894,0.77349,0.97308,0.92245,0.84912,0.94302,0.57178,1.40698,0.67718,0.94591,0.0094654,0.0094654,0.0094654
29,2229.45,1.48041,0.7657,0.97073,0.91712,0.84707,0.93991,0.56383,1.42981,0.69954,0.95258,0.0094456,0.0094456,0.0094456
30,2306.27,1.47752,0.76783,0.96872,0.93058,0.87627,0.95202,0.57396,1.42747,0.6678,0.94719,0.0094258,0.0094258,0.0094258
31,2381.86,1.46409,0.75264,0.96606,0.92906,0.84862,0.94617,0.57672,1.40022,0.68146,0.9443,0.009406,0.009406,0.009406
32,2458.12,1.46564,0.75245,0.96921,0.92771,0.86468,0.95044,0.58116,1.38254,0.65558,0.94005,0.0093862,0.0093862,0.0093862
33,2533.8,1.4645,0.74406,0.96636,0.92561,0.87042,0.95102,0.58421,1.38512,0.66308,0.93916,0.0093664,0.0093664,0.0093664
34,2610.15,1.45356,0.74219,0.96203,0.93987,0.87701,0.95807,0.58818,1.3646,0.64095,0.93408,0.0093466,0.0093466,0.0093466
